episode_reward_mean,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
-1.064425208762493,17.273213148117065,False,,,1,53df0a179b584b1d8822cb165c6299ae,2020-12-05_08-23-18,1607185398,17.273213148117065,84549,Macbook,192.168.86.30,17.273213148117065,0,1,bbc3d_00013,"13_discount=0.998,tau=0.0001"
-1.064425208762493,8.58233094215393,False,,,2,53df0a179b584b1d8822cb165c6299ae,2020-12-05_08-23-26,1607185406,25.855544090270996,84549,Macbook,192.168.86.30,25.855544090270996,0,2,bbc3d_00013,"13_discount=0.998,tau=0.0001"
-1.064425208762493,8.512234926223755,False,,,3,53df0a179b584b1d8822cb165c6299ae,2020-12-05_08-23-35,1607185415,34.36777901649475,84549,Macbook,192.168.86.30,34.36777901649475,0,3,bbc3d_00013,"13_discount=0.998,tau=0.0001"
-1.064425208762493,8.625742197036743,False,,,4,53df0a179b584b1d8822cb165c6299ae,2020-12-05_08-23-44,1607185424,42.993521213531494,84549,Macbook,192.168.86.30,42.993521213531494,0,4,bbc3d_00013,"13_discount=0.998,tau=0.0001"
-1.064425208762493,9.484925985336304,False,,,5,53df0a179b584b1d8822cb165c6299ae,2020-12-05_08-23-53,1607185433,52.4784471988678,84549,Macbook,192.168.86.30,52.4784471988678,0,5,bbc3d_00013,"13_discount=0.998,tau=0.0001"
-355.60949361293257,163.79860496520996,False,,,6,53df0a179b584b1d8822cb165c6299ae,2020-12-05_08-26-37,1607185597,216.27705216407776,84549,Macbook,192.168.86.30,216.27705216407776,0,6,bbc3d_00013,"13_discount=0.998,tau=0.0001"
-268.64817252178767,161.95224404335022,False,,,7,53df0a179b584b1d8822cb165c6299ae,2020-12-05_08-29-19,1607185759,378.229296207428,84549,Macbook,192.168.86.30,378.229296207428,0,7,bbc3d_00013,"13_discount=0.998,tau=0.0001"
-186.54510106058734,164.10839986801147,False,,,8,53df0a179b584b1d8822cb165c6299ae,2020-12-05_08-32-03,1607185923,542.3376960754395,84549,Macbook,192.168.86.30,542.3376960754395,0,8,bbc3d_00013,"13_discount=0.998,tau=0.0001"
-96.74787793036664,164.35650610923767,False,,,9,53df0a179b584b1d8822cb165c6299ae,2020-12-05_08-34-47,1607186087,706.6942021846771,84549,Macbook,192.168.86.30,706.6942021846771,0,9,bbc3d_00013,"13_discount=0.998,tau=0.0001"
-106.61782695471409,164.03428387641907,False,,,10,53df0a179b584b1d8822cb165c6299ae,2020-12-05_08-37-31,1607186251,870.7284860610962,84549,Macbook,192.168.86.30,870.7284860610962,0,10,bbc3d_00013,"13_discount=0.998,tau=0.0001"
-108.67373803133339,164.4229929447174,False,,,11,53df0a179b584b1d8822cb165c6299ae,2020-12-05_08-40-16,1607186416,1035.1514790058136,84549,Macbook,192.168.86.30,1035.1514790058136,0,11,bbc3d_00013,"13_discount=0.998,tau=0.0001"
-46.87785927183557,167.25564908981323,False,,,12,53df0a179b584b1d8822cb165c6299ae,2020-12-05_08-43-03,1607186583,1202.4071280956268,84549,Macbook,192.168.86.30,1202.4071280956268,0,12,bbc3d_00013,"13_discount=0.998,tau=0.0001"
-24.56748396374081,164.15346002578735,False,,,13,53df0a179b584b1d8822cb165c6299ae,2020-12-05_08-45-47,1607186747,1366.5605881214142,84549,Macbook,192.168.86.30,1366.5605881214142,0,13,bbc3d_00013,"13_discount=0.998,tau=0.0001"
11.031310814689492,164.59623384475708,False,,,14,53df0a179b584b1d8822cb165c6299ae,2020-12-05_08-48-32,1607186912,1531.1568219661713,84549,Macbook,192.168.86.30,1531.1568219661713,0,14,bbc3d_00013,"13_discount=0.998,tau=0.0001"
123.45399803155063,165.31788420677185,False,,,15,53df0a179b584b1d8822cb165c6299ae,2020-12-05_08-51-17,1607187077,1696.4747061729431,84549,Macbook,192.168.86.30,1696.4747061729431,0,15,bbc3d_00013,"13_discount=0.998,tau=0.0001"
77.17888891271694,160.88946986198425,True,,,16,53df0a179b584b1d8822cb165c6299ae,2020-12-05_08-53-58,1607187238,1857.3641760349274,84549,Macbook,192.168.86.30,1857.3641760349274,0,16,bbc3d_00013,"13_discount=0.998,tau=0.0001"
